,filename,user,version,submission_date,games,miu,std,record_active
0,miracachebla_1.py,miracachebla,1,2023-12-09,0,1000.0,333.3333333333333,0
1,miracacheblu_1.py,miracacheblu,1,2023-12-09,0,1000.0,333.3333333333333,0
2,miracachegre_1.py,miracachegre,1,2023-12-09,0,1000.0,333.3333333333333,0
3,miracachere_1.py,miracachere,1,2023-12-09,0,1000.0,333.3333333333333,0
4,miracachewhi_1.py,miracachewhi,1,2023-12-09,0,1000.0,333.3333333333333,0
5,miracachewhi_1.py,miracachewhi,1,2023-12-09,1,611.2783969855828,222.2343793125592,0
6,miracachebla_1.py,miracachebla,1,2023-12-09,1,1388.7216031243358,222.2343793676404,0
7,miracacheblu_1.py,miracacheblu,1,2023-12-09,1,834.3782426826835,186.01857851082755,0
8,miracachere_1.py,miracachere,1,2023-12-09,1,1165.6217554654943,186.0185782467384,0
9,miracachegre_1.py,miracachegre,1,2023-12-09,1,999.9999990330144,178.60522536473457,0
10,miracachere_1.py,miracachere,1,2023-12-09,2,1187.9079141727257,137.51710573828808,0
11,miracachebla_1.py,miracachebla,1,2023-12-09,2,1472.934318755858,181.35562886791533,0
12,miracachegre_1.py,miracachegre,1,2023-12-09,2,845.0079862431877,123.625381224082,0
13,miracacheblu_1.py,miracacheblu,1,2023-12-09,2,970.0022172521908,121.2232990373677,0
14,miracachewhi_1.py,miracachewhi,1,2023-12-09,2,541.6459093740064,183.7374626896508,0
15,miracachewhi_1.py,miracachewhi,1,2023-12-09,3,527.730901718052,171.55716826627395,0
16,miracachere_1.py,miracachere,1,2023-12-09,3,909.0435909051864,85.42498108831116,0
17,miracachegre_1.py,miracachegre,1,2023-12-09,3,968.2856165739876,79.96976924104513,0
18,miracachebla_1.py,miracachebla,1,2023-12-09,3,1482.3884882124078,172.53321554448686,0
19,miracacheblu_1.py,miracacheblu,1,2023-12-09,3,1069.9980655964446,88.82249064601163,0
20,miracacheblu_1.py,miracacheblu,1,2023-12-09,4,922.5515094554901,58.71090905782867,1
21,miracachere_1.py,miracachere,1,2023-12-09,4,968.4749919297526,54.536826937908224,1
22,miracachebla_1.py,miracachebla,1,2023-12-09,4,1485.7754104915848,168.56210397953708,1
23,miracachewhi_1.py,miracachewhi,1,2023-12-09,4,521.4369836615475,164.86699447905772,1
24,miracachegre_1.py,miracachegre,1,2023-12-09,4,1036.362321153334,59.7928364428847,1
