game_id,filename,results,rank,miu,std,new_miu,new_std
1,miracachewhi_1.py,55,5,1000,333.3333333333333,611.2783969855828,222.2343793125592
1,miracachebla_1.py,346,1,1000,333.3333333333333,1388.7216031243358,222.2343793676404
1,miracacheblu_1.py,175,4,1000,333.3333333333333,834.3782426826835,186.01857851082755
1,miracachere_1.py,213,2,1000,333.3333333333333,1165.6217554654945,186.01857824673837
1,miracachegre_1.py,211,3,1000,333.3333333333333,999.9999990330143,178.60522536473457
2,miracachere_1.py,206,2,1165.6217554654943,186.0185782467384,1187.9079141727257,137.51710573828808
2,miracachebla_1.py,343,1,1388.7216031243358,222.2343793676404,1472.934318755858,181.35562886791533
2,miracachegre_1.py,195,4,999.9999990330144,178.60522536473457,845.0079862431877,123.625381224082
2,miracacheblu_1.py,201,3,834.3782426826835,186.01857851082755,970.0022172521907,121.2232990373677
2,miracachewhi_1.py,55,5,611.2783969855828,222.2343793125592,541.6459093740064,183.7374626896508
3,miracachewhi_1.py,57,5,541.6459093740064,183.7374626896508,527.730901718052,171.55716826627395
3,miracachere_1.py,177,4,1187.9079141727257,137.51710573828808,909.0435909051865,85.42498108831116
3,miracachegre_1.py,209,3,845.0079862431877,123.625381224082,968.2856165739875,79.96976924104513
3,miracachebla_1.py,348,1,1472.934318755858,181.35562886791533,1482.3884882124078,172.53321554448686
3,miracacheblu_1.py,209,2,970.0022172521908,121.2232990373677,1069.9980655964446,88.82249064601163
4,miracacheblu_1.py,189,4,1069.9980655964446,88.82249064601163,922.5515094554901,58.71090905782867
4,miracachere_1.py,194,3,909.0435909051864,85.42498108831116,968.4749919297526,54.536826937908224
4,miracachebla_1.py,338,1,1482.3884882124078,172.53321554448686,1485.7754104915848,168.56210397953708
4,miracachewhi_1.py,60,5,527.730901718052,171.55716826627395,521.4369836615475,164.86699447905772
4,miracachegre_1.py,219,2,968.2856165739876,79.96976924104513,1036.362321153334,59.7928364428847
